t fidelity1 fidelity2 fidelity3
2.297289627937536238e+01 6.990749470023166490e-01 6.990749468627900365e-01 6.990749469861776699e-01
2.307107104980004308e+01 7.860005388721437170e-01 7.860005387303826696e-01 7.860005388683188876e-01
2.316924582022472379e+01 8.605685857382308068e-01 8.605685855959985808e-01 8.605685857505640524e-01
2.326742059064940449e+01 9.197107752821831461e-01 9.197107751466878645e-01 9.197107753101034788e-01
2.336559536107408519e+01 9.610703661513203544e-01 9.610703660259451997e-01 9.610703661963213573e-01
2.346377013149876589e+01 9.830968103324705387e-01 9.830968102209813875e-01 9.830968103943923397e-01
2.356194490192344659e+01 9.851014146166727770e-01 9.851014145229617380e-01 9.851014146945452632e-01
2.366011967234813085e+01 9.672693845914711597e-01 9.672693845173945260e-01 9.672693846842198573e-01
2.375829444277281155e+01 9.306315920371233119e-01 9.306315919853308527e-01 9.306315921420038606e-01
2.385646921319749225e+01 8.770000229103578349e-01 8.770000228792771413e-01 8.770000230262644525e-01
2.395464398362217295e+01 8.088678303271165104e-01 8.088678303191575436e-01 8.088678304489714810e-01
2.405281875404685366e+01 7.292814048220001011e-01 7.292814048299290919e-01 7.292814049437793544e-01
2.415099352447153436e+01 6.416940295531314842e-01 6.416940295736672795e-01 6.416940296695783363e-01
2.424916829489621506e+01 5.498055051605189592e-01 5.498055051912537072e-01 5.498055052674332144e-01
2.434734306532089576e+01 4.573956976483515291e-01 4.573956976854812728e-01 4.573956977430859716e-01
2.444551783574557646e+01 3.681632083599007954e-01 3.681632083999935023e-01 3.681632084405406236e-01
2.454369260617025716e+01 2.855739464719685428e-01 2.855739465124014220e-01 2.855739465370207841e-01
