gt pop_n1 pop_n2 pop_n3 pop_n4
2.466150233067987418e+00 3.908917853963075340e-01 9.524035400068779911e-01 8.064578760864029583e-01 1.813100839379507556e-01
2.481858196335936295e+00 3.756185370285997638e-01 9.381417019346233177e-01 8.422785316181375936e-01 2.321091768285272749e-01
2.497566159603885616e+00 3.604680302364654532e-01 9.221506864602742048e-01 8.750606757453270879e-01 2.871332691752164767e-01
2.513274122871834493e+00 3.454552098365463175e-01 9.044942833729577858e-01 9.045129258574045039e-01 3.455148727809925213e-01
2.528982086139783370e+00 3.305948958704945650e-01 8.852406356948921973e-01 9.303754891883441180e-01 4.063314941999566776e-01
2.544690049407732246e+00 3.159017819193848386e-01 8.644667181842731196e-01 9.524177554510789845e-01 4.686261810695055985e-01
2.560398012675681567e+00 3.013903862750962337e-01 8.422550013000151825e-01 9.704437436638984060e-01 5.314162544004958910e-01
2.576105975943630444e+00 2.870749962106611264e-01 8.186919208642043921e-01 9.842941480514744157e-01 5.937093178602921295e-01
2.591813939211579321e+00 2.729697267931624483e-01 7.938715731585230806e-01 9.938459288866887675e-01 6.545241506809476029e-01
2.607521902479528197e+00 2.590884992998752634e-01 7.678921861286309714e-01 9.990140763797996648e-01 7.129083871075019285e-01
2.623229865747477074e+00 2.454450254589226055e-01 7.408558865875247701e-01 9.997529015074948511e-01 7.679304405179815385e-01
2.638937829015425951e+00 2.320528071498363654e-01 7.128694047274359846e-01 9.960558566077732934e-01 8.187272928077926615e-01
2.654645792283375272e+00 2.189250340922592741e-01 6.840413717859386011e-01 9.879554822246497947e-01 8.644986236936852420e-01
2.670353755551324149e+00 2.060746434201892185e-01 6.544895478080312579e-01 9.755237178092946992e-01 9.045219007686352564e-01
2.686061718819273025e+00 1.935143143678562383e-01 6.243249231169784030e-01 9.588711765773016982e-01 9.381646646915862142e-01
2.701769682087221902e+00 1.812564478285654257e-01 5.936701666152555124e-01 9.381453767960148404e-01 9.648975532064834049e-01
2.717477645355171223e+00 1.693131728304683170e-01 5.626477699461794879e-01 9.135312983091972150e-01 9.842980694865408609e-01
2.733185608623120100e+00 1.576962725307496371e-01 5.313756448190333215e-01 8.852456385924616367e-01 9.960607438679971448e-01
2.748893571891068976e+00 1.464171873894301035e-01 4.999799244579599677e-01 8.535405789105534602e-01 9.999999807565025378e-01
2.764601535159017853e+00 1.354870421790625445e-01 4.685850178076035877e-01 8.186991171460497041e-01 9.960538515296261108e-01
2.780309498426966730e+00 1.249166266549028986e-01 4.373135992859348287e-01 7.810279401481099448e-01 9.842841384350756728e-01
2.796017461694915607e+00 1.147163881529850993e-01 4.062884473882314440e-01 7.408630972626462086e-01 9.648769245109533044e-01
2.811725424962864484e+00 1.048964125388094776e-01 3.756332014290492682e-01 6.985601356830151154e-01 9.381376286179650137e-01
2.827433388230813804e+00 9.546636723890149223e-02 3.454690580439383485e-01 6.544937332480644798e-01 9.044892931653620849e-01
2.843141351498762681e+00 8.643554883026745295e-02 3.159153241073771046e-01 6.090575930843793451e-01 8.644624277716540517e-01
2.858849314766711558e+00 7.781287024216147763e-02 2.870909288038496765e-01 5.626526148331026933e-01 8.186880828838386526e-01
2.874557278034660879e+00 6.960684720347026788e-02 2.591065862052886470e-01 5.156931650373868248e-01 7.678871356236558476e-01
2.890265241302609756e+00 6.182560146762897113e-02 2.320698758617035784e-01 4.685919574733959370e-01 7.128616014320884320e-01
2.905973204570558632e+00 5.447679931823113525e-02 2.060896072632074083e-01 4.217715368163149625e-01 6.544796834325148360e-01
2.921681167838507509e+00 4.756768096424421333e-02 1.812711043061716321e-01 3.756441053403005159e-01 5.936625436215605678e-01
2.937389131106456386e+00 4.110506339586332547e-02 1.577118225399672946e-01 3.306205394789926144e-01 5.313703015992999878e-01
2.953097094374405263e+00 3.509532777465091541e-02 1.355017411604540201e-01 2.870987405484408672e-01 4.685804435204949381e-01
2.968805057642354139e+00 2.954441766740859704e-02 1.147304147076318864e-01 2.454690010507158404e-01 4.062827801478621770e-01
2.984513020910303460e+00 2.445781382747351865e-02 9.547944470031285991e-02 2.060966777345144552e-01 3.454673666498262463e-01
3.000220984178252337e+00 1.984052363301690852e-02 7.782460284950741547e-02 1.693347508405856905e-01 2.870873374070834205e-01
3.015928947446201658e+00 1.569710110729108377e-02 6.183623976741480649e-02 1.355077886749189719e-01 2.320657245871555752e-01
3.031636910714150535e+00 1.203163726788184298e-02 4.757676651648203026e-02 1.049149883850431231e-01 1.812682134949218926e-01
3.047344873982099411e+00 8.847754202431157983e-03 3.510312434984388941e-02 7.782935009443604779e-02 1.354970912224107427e-01
3.063052837250048288e+00 6.148600687163630410e-03 2.446428687786526487e-02 5.449130884328240443e-02 9.547448351300114044e-02
3.078760800517997165e+00 3.936832833428792477e-03 1.570245809702533815e-02 3.510678997444538485e-02 6.183256083841536660e-02
3.094468763785946042e+00 2.214630975120201583e-03 8.851914153337567259e-03 1.984911638091545194e-02 3.510029336487332369e-02
3.110176727053894918e+00 9.836960038284469406e-04 3.939565042418937194e-03 8.853398684720343095e-03 1.570069009636687954e-02
3.125884690321843795e+00 2.452447494781377938e-04 9.850850152016833554e-04 2.217438520342467426e-03 3.938608086421353273e-03
3.141592653589793116e+00 7.200370545692149035e-09 4.758037130831171838e-09 1.585655758793033197e-08 2.507103881621814225e-08
