t fidelity9 fidelity25
1.979203371761569796e+00 1.147136071553335329e-01 2.064410599819126169e-01
1.987057353395544013e+00 1.001394791927318062e-01 2.390709943829966988e-01
1.994911335029518673e+00 8.645247360431655703e-02 2.733050570803384760e-01
2.002765316663492889e+00 7.368107508630661329e-02 3.089355329844995501e-01
2.010619298297467772e+00 6.185179928952255768e-02 3.457539713153559013e-01
2.018473279931442210e+00 5.099382776381963800e-02 3.835384734774445192e-01
2.026327261565416649e+00 4.113230912564921904e-02 4.220398386751931796e-01
2.034181243199391087e+00 3.228988232347507203e-02 4.610007033525324038e-01
2.042035224833365525e+00 2.448732095887437218e-02 5.001933578296506866e-01
2.049889206467339964e+00 1.774295306253801177e-02 5.393978445371021557e-01
2.057743188101314402e+00 1.207043447606843609e-02 5.783680469941534508e-01
2.065597169735288841e+00 7.481854206808188218e-03 6.168498098134356233e-01
2.073451151369263279e+00 3.986733716591857150e-03 6.546042525222857122e-01
2.081305133003237717e+00 1.591734193269978611e-03 6.914066278783055353e-01
2.089159114637212600e+00 3.013932091316690737e-04 7.270340938735505576e-01
2.097013096271187038e+00 1.199515032591882871e-04 7.612629991110924088e-01
2.104867077905161477e+00 1.048344435579627587e-03 7.938788340865949866e-01
2.112721059539135915e+00 3.085296804028295724e-03 8.246799879642616737e-01
2.120575041173110353e+00 6.226208091985865542e-03 8.534754561597126532e-01
2.128429022807084792e+00 1.046366403047505229e-02 8.800917024321378568e-01
2.136283004441059230e+00 1.578787857929756649e-02 9.043746342708409713e-01
2.144136986075033668e+00 2.218657965187322001e-02 9.261742757703124163e-01
2.151990967709008107e+00 2.964589909143049498e-02 9.453410988022167283e-01
2.159844949342982545e+00 3.814944772402929785e-02 9.617463307719579246e-01
2.167698930976956984e+00 4.767867851957878489e-02 9.753012246978828292e-01
2.175552912610931866e+00 5.821244617745001404e-02 9.859372495566425254e-01
2.183406894244906304e+00 6.972716784590141104e-02 9.935780409706774785e-01
2.191260875878880743e+00 8.219712606545097333e-02 9.981720385755005198e-01
2.199114857512855181e+00 9.559442742829649120e-02 9.996957022963527395e-01
2.206968839146829620e+00 1.098894601666087489e-01 9.981396297272318030e-01
2.214822820780804058e+00 1.250505612936123612e-01 9.935113795434656891e-01
2.222676802414778496e+00 1.410442178467797569e-01 9.858403932328756447e-01
2.230530784048752935e+00 1.578349942622246094e-01 9.751745669594851229e-01
2.238384765682727373e+00 1.753856371310649198e-01 9.615790284966815316e-01
2.246238747316702256e+00 1.936572814853256275e-01 9.451374251415634031e-01
2.254092728950676694e+00 2.126094196804119152e-01 9.259511689349866348e-01
2.261946710584651132e+00 2.321997162538325665e-01 9.041392891037403068e-01
2.269800692218625571e+00 2.523842875910701777e-01 8.798373229135776352e-01
2.277654673852600009e+00 2.731176856990624180e-01 8.531944418891074244e-01
2.285508655486574447e+00 2.943531648976262516e-01 8.243699723645132593e-01
2.293362637120548886e+00 3.160430831682667918e-01 7.935436073189449102e-01
2.301216618754523324e+00 3.381394105225336566e-01 7.609071588267689590e-01
2.309070600388497763e+00 3.605945028458295010e-01 7.266620093764912802e-01
2.316924582022472201e+00 3.833618052169196488e-01 6.910190564049558670e-01
2.324778563656446639e+00 4.063944806876083615e-01 6.541982485666795188e-01
2.332632545290421522e+00 4.296357812003579468e-01 6.164271462223728237e-01
2.340486526924395960e+00 4.530331080996248816e-01 5.779384456808851489e-01
2.348340508558370399e+00 4.765350403387199618e-01 5.389688475464979867e-01
2.356194490192344837e+00 5.000897321943682527e-01 4.997576999007455334e-01
2.364048471826319275e+00 5.236441818382531199e-01 4.605461811831953467e-01
2.371902453460293714e+00 5.471462488585264738e-01 4.215766107659395523e-01
2.379756435094268152e+00 5.705441152812551486e-01 3.830899572242486006e-01
2.387610416728242591e+00 5.937857639156831624e-01 3.453247679998324160e-01
2.395464398362217029e+00 6.168192847195471673e-01 3.085140217639610882e-01
2.403318379996191911e+00 6.395933838895011547e-01 2.728851897036461693e-01
2.411172361630165906e+00 6.620572972088430985e-01 2.386586650692123501e-01
2.419026343264140788e+00 6.841612337697945412e-01 2.060455722302308446e-01
2.426880324898115227e+00 7.058562087105174632e-01 1.752460588204203529e-01
2.434734306532089665e+00 7.270941709160052557e-01 1.464483622766928339e-01
2.442588288166064103e+00 7.478281759459761702e-01 1.198277829183319598e-01
2.450442269800038542e+00 7.680125128646327903e-01 9.555034808233303645e-02
2.458296251434012980e+00 7.876026530232871359e-01 7.376676578626094327e-02
2.466150233067987418e+00 8.065545520136998547e-01 5.461199392287569010e-02
2.474004214701961857e+00 8.248259082696880462e-01 3.820453970521779652e-02
2.481858196335936295e+00 8.423759666624129894e-01 2.464535520466236418e-02
2.489712177969911178e+00 8.591655265911382067e-01 1.401679610898898774e-02
2.497566159603885616e+00 8.751570366438893300e-01 6.382510302415279543e-03
2.505420141237860054e+00 8.903147989086331870e-01 1.791546110649141956e-03
2.513274122871834493e+00 9.046052911227130400e-01 2.723657314719733226e-04
2.521128104505808931e+00 9.179968259865092239e-01 1.834336207158379205e-03
2.528982086139783370e+00 9.304598141305643333e-01 6.467944048115917277e-03
2.536836067773757808e+00 9.419668821920259560e-01 1.414378019755152538e-02
2.544690049407732246e+00 9.524929760141002122e-01 2.481510040039237516e-02
2.552544031041706685e+00 9.620148198581545129e-01 3.841612650627213715e-02
2.560398012675681567e+00 9.705105857484609411e-01 5.486294464833513240e-02
2.568251994309655561e+00 9.779614813464816425e-01 7.405434095342655620e-02
2.576105975943630444e+00 9.843511487315632635e-01 9.587147193344539020e-02
2.583959957577604882e+00 9.896657239734872880e-01 1.201803431953449297e-01
2.591813939211579321e+00 9.938939109674403971e-01 1.468312940308862113e-01
2.599667920845553759e+00 9.970261311128322257e-01 1.756599941605447301e-01
2.607521902479528197e+00 9.990547828467337688e-01 2.064886570568872093e-01
2.615375884113502636e+00 9.999753547939703724e-01 2.391264619131380220e-01
2.623229865747477074e+00 9.997858787156499449e-01 2.733725469614182169e-01
2.631083847381451957e+00 9.984867969745541139e-01 3.090160587853906238e-01
2.638937829015425951e+00 9.960807786920234941e-01 3.458371654881500223e-01
2.646791810649400833e+00 9.925732277671763804e-01 3.836084675931074051e-01
2.654645792283375272e+00 9.879721302033299679e-01 4.220976311235561385e-01
2.662499773917349710e+00 9.822879134848525595e-01 4.610675561889855945e-01
2.670353755551324149e+00 9.755328587502536397e-01 5.002775068110129064e-01
2.678207737185298587e+00 9.677219188350690837e-01 5.394847109630714899e-01
2.686061718819273025e+00 9.588724995791474415e-01 5.784479915411021578e-01
2.693915700453247464e+00 9.490043711132947202e-01 6.169276337175393365e-01
2.701769682087221902e+00 9.381392993932148316e-01 6.546862292731019384e-01
2.709623663721196341e+00 9.263013826666098849e-01 6.914906527802021641e-01
2.717477645355171223e+00 9.135170026542167587e-01 7.271138998566728517e-01
2.725331626989145217e+00 8.998147332269106347e-01 7.613363521714959781e-01
2.733185608623120100e+00 8.852248298389358006e-01 7.939470467706077894e-01
2.741039590257094538e+00 8.697794985874985896e-01 8.247452567353003028e-01
2.748893571891068976e+00 8.535129850657509065e-01 8.535406997215094771e-01
2.756747553525043415e+00 8.364613991677946059e-01 8.801551818200760158e-01
2.764601535159017853e+00 8.186625846089261582e-01 9.044249712761154303e-01
2.772455516792992292e+00 8.001560687396496174e-01 9.262016461564739345e-01
2.780309498426966730e+00 7.809830764067381415e-01 9.453507459612823238e-01
2.788163480060941612e+00 7.611864342634214742e-01 9.617524023343484441e-01
2.796017461694915607e+00 7.408102204073651054e-01 9.753059807716744078e-01
2.803871443328890489e+00 7.198993779445697072e-01 9.859296196506871501e-01
2.811725424962864484e+00 6.985002944142402193e-01 9.935585167092201297e-01
2.819579406596839366e+00 6.766604485594986951e-01 9.981436684663916870e-01
2.827433388230813804e+00 6.544283098268650622e-01 9.996581741432890578e-01
2.835287369864788243e+00 6.318532446006108749e-01 9.980926520884559894e-01
2.843141351498762681e+00 6.089854224371322733e-01 9.934558733928613439e-01
2.850995333132737120e+00 5.858756977540318100e-01 9.857771686383118848e-01
2.858849314766711558e+00 5.625751545075587945e-01 9.751033906811104046e-01
2.866703296400685996e+00 5.391354223038047344e-01 9.615002006625368303e-01
2.874557278034660879e+00 5.156085702242056978e-01 9.450521890296438299e-01
2.882411259668634873e+00 4.920469193801969565e-01 9.258601350017134912e-01
2.890265241302609756e+00 4.685029417415111919e-01 9.040425518049448605e-01
2.898119222936584194e+00 4.450291589644904122e-01 8.797343760210540875e-01
2.905973204570558632e+00 4.216780412203784967e-01 8.530844305426990015e-01
2.913827186204533071e+00 3.985014949971955045e-01 8.242568456527293863e-01
2.921681167838507509e+00 3.755503916299725020e-01 7.934293890266186366e-01
2.929535149472481947e+00 3.528756763906379934e-01 7.607924308523005275e-01
2.937389131106456386e+00 3.305277084112158148e-01 7.265485979151925511e-01
2.945243112740431268e+00 3.085561260751275570e-01 6.909089551083532621e-01
2.953097094374405263e+00 2.870097335185649579e-01 6.540924506824216111e-01
2.960951076008380145e+00 2.659363871318613515e-01 6.163257733588509701e-01
2.968805057642354139e+00 2.453828893903205188e-01 5.778415238005826238e-01
2.976659039276329022e+00 2.253950194556056941e-01 5.388767981208630875e-01
2.984513020910303460e+00 2.060172551606556102e-01 4.996715273845372951e-01
2.992367002544277899e+00 1.872926521288388879e-01 4.604677375756886515e-01
3.000220984178252337e+00 1.692627737969403523e-01 4.215080769268583216e-01
3.008074965812226775e+00 1.519675796159803971e-01 3.830344129114510721e-01
3.015928947446201658e+00 1.354453132520489489e-01 3.452832859757924422e-01
3.023782929080175652e+00 1.197323907871295223e-01 3.084865274906578581e-01
3.031636910714150535e+00 1.048637187259192638e-01 2.728709019974581707e-01
