t fidelity1 fidelity2
2.189297380470387111e+01 1.364703575807819751e-02 1.364703575807819751e-02
2.199114857512855181e+01 2.157217510260967929e-03 2.157217510260967929e-03
2.208932334555323251e+01 1.014501126332198640e-02 1.014501126332198640e-02
2.218749811597791322e+01 3.735582950770557215e-02 3.735582950770557215e-02
2.228567288640259392e+01 8.276568729500539956e-02 8.276568729500539956e-02
2.238384765682727462e+01 1.446190079891095381e-01 1.446190079891095381e-01
2.248202242725195532e+01 2.204970168948295617e-01 2.204970168948295617e-01
2.258019719767663958e+01 3.074140091376982298e-01 3.074140091376982298e-01
2.267837196810132028e+01 4.019375250328173776e-01 4.019375250328173776e-01
2.277654673852600098e+01 5.003273874904686780e-01 5.003273874904686780e-01
2.287472150895068168e+01 5.986877051784790238e-01 5.986877051784790238e-01
2.297289627937536238e+01 6.931253641094646811e-01 6.931253641094646811e-01
2.307107104980004308e+01 7.799082471872079703e-01 7.799082471872079703e-01
2.316924582022472379e+01 8.556164489375722715e-01 8.556164489375722715e-01
2.326742059064940449e+01 9.172800882497267327e-01 9.172800882497267327e-01
2.336559536107408519e+01 9.624979470419570138e-01 9.624979470419570138e-01
2.346377013149876589e+01 9.895320445972350942e-01 9.895320445972350942e-01
2.356194490192344659e+01 9.973743507788644935e-01 9.973743507788644935e-01
2.366011967234813085e+01 9.857830915706290442e-01 9.857830915706290442e-01
2.375829444277281155e+01 9.552874458509609257e-01 9.552874458509609257e-01
2.385646921319749225e+01 9.071608081632047682e-01 9.071608081632047682e-01
2.395464398362217295e+01 8.433641337856420117e-01 8.433641337856420117e-01
2.405281875404685366e+01 7.664621284143751101e-01 7.664621284143751101e-01
2.415099352447153436e+01 6.795161405266402221e-01 6.795161405266402221e-01
2.424916829489621506e+01 5.859585143581911293e-01 5.859585143581911293e-01
2.434734306532089576e+01 4.894538307647429143e-01 4.894538307647429143e-01
2.444551783574557646e+01 3.937528798030236477e-01 3.937528798030236477e-01
2.454369260617025716e+01 3.025453632737251097e-01 3.025453632737251097e-01
